"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1976-Q3","Q3-1976","PC","Percentage","0","Units",,,-1.142634,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1976-Q4","Q4-1976","PC","Percentage","0","Units",,,-1.743011,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1977-Q1","Q1-1977","PC","Percentage","0","Units",,,-2.952805,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1977-Q2","Q2-1977","PC","Percentage","0","Units",,,-2.796256,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1977-Q3","Q3-1977","PC","Percentage","0","Units",,,-3.010533,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1977-Q4","Q4-1977","PC","Percentage","0","Units",,,-1.095954,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1978-Q1","Q1-1978","PC","Percentage","0","Units",,,-2.859077,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1978-Q2","Q2-1978","PC","Percentage","0","Units",,,-2.977386,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1978-Q3","Q3-1978","PC","Percentage","0","Units",,,-3.623317,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1978-Q4","Q4-1978","PC","Percentage","0","Units",,,-3.516325,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1979-Q1","Q1-1979","PC","Percentage","0","Units",,,-1.95146,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1979-Q2","Q2-1979","PC","Percentage","0","Units",,,-1.915375,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1979-Q3","Q3-1979","PC","Percentage","0","Units",,,-1.68264,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1979-Q4","Q4-1979","PC","Percentage","0","Units",,,-0.6393901,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1980-Q1","Q1-1980","PC","Percentage","0","Units",,,-0.955805,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1980-Q2","Q2-1980","PC","Percentage","0","Units",,,-1.711869,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1980-Q3","Q3-1980","PC","Percentage","0","Units",,,-3.773585,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1980-Q4","Q4-1980","PC","Percentage","0","Units",,,-3.205925,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1981-Q1","Q1-1981","PC","Percentage","0","Units",,,-2.816244,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1981-Q2","Q2-1981","PC","Percentage","0","Units",,,-4.15854,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1981-Q3","Q3-1981","PC","Percentage","0","Units",,,-4.048477,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1981-Q4","Q4-1981","PC","Percentage","0","Units",,,-5.31353,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1982-Q1","Q1-1982","PC","Percentage","0","Units",,,-5.385206,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1982-Q2","Q2-1982","PC","Percentage","0","Units",,,-4.722029,,
