"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1993-Q3","Q3-1993","PC","Percentage","0","Units",,,4.896667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1993-Q4","Q4-1993","PC","Percentage","0","Units",,,4.803333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1994-Q1","Q1-1994","PC","Percentage","0","Units",,,4.83,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1994-Q2","Q2-1994","PC","Percentage","0","Units",,,4.963333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1994-Q3","Q3-1994","PC","Percentage","0","Units",,,5.646667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1994-Q4","Q4-1994","PC","Percentage","0","Units",,,7.186666,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1995-Q1","Q1-1995","PC","Percentage","0","Units",,,8.193334,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1995-Q2","Q2-1995","PC","Percentage","0","Units",,,7.713333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1995-Q3","Q3-1995","PC","Percentage","0","Units",,,7.543334,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1995-Q4","Q4-1995","PC","Percentage","0","Units",,,7.453333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1996-Q1","Q1-1996","PC","Percentage","0","Units",,,7.486667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1996-Q2","Q2-1996","PC","Percentage","0","Units",,,7.563334,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1996-Q3","Q3-1996","PC","Percentage","0","Units",,,7.13,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1996-Q4","Q4-1996","PC","Percentage","0","Units",,,6.426667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1997-Q1","Q1-1997","PC","Percentage","0","Units",,,5.926667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1997-Q2","Q2-1997","PC","Percentage","0","Units",,,5.753334,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1997-Q3","Q3-1997","PC","Percentage","0","Units",,,4.953333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1997-Q4","Q4-1997","PC","Percentage","0","Units",,,4.95,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1998-Q1","Q1-1998","PC","Percentage","0","Units",,,4.973333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1998-Q2","Q2-1998","PC","Percentage","0","Units",,,5.066667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1998-Q3","Q3-1998","PC","Percentage","0","Units",,,5.13,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1998-Q4","Q4-1998","PC","Percentage","0","Units",,,4.836667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1999-Q1","Q1-1999","PC","Percentage","0","Units",,,4.79,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1999-Q2","Q2-1999","PC","Percentage","0","Units",,,4.85,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1999-Q3","Q3-1999","PC","Percentage","0","Units",,,4.94,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1999-Q4","Q4-1999","PC","Percentage","0","Units",,,5.466667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2000-Q1","Q1-2000","PC","Percentage","0","Units",,,5.783333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2000-Q2","Q2-2000","PC","Percentage","0","Units",,,6.193333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2000-Q3","Q3-2000","PC","Percentage","0","Units",,,6.42,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2000-Q4","Q4-2000","PC","Percentage","0","Units",,,6.313334,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2001-Q1","Q1-2001","PC","Percentage","0","Units",,,5.546667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2001-Q2","Q2-2001","PC","Percentage","0","Units",,,4.906667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2001-Q3","Q3-2001","PC","Percentage","0","Units",,,4.846667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2001-Q4","Q4-2001","PC","Percentage","0","Units",,,4.296667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2002-Q1","Q1-2002","PC","Percentage","0","Units",,,4.343333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2002-Q2","Q2-2002","PC","Percentage","0","Units",,,4.833333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2002-Q3","Q3-2002","PC","Percentage","0","Units",,,4.953333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2002-Q4","Q4-2002","PC","Percentage","0","Units",,,4.856667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2003-Q1","Q1-2003","PC","Percentage","0","Units",,,4.77,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2003-Q2","Q2-2003","PC","Percentage","0","Units",,,4.746666,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2003-Q3","Q3-2003","PC","Percentage","0","Units",,,4.816667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2003-Q4","Q4-2003","PC","Percentage","0","Units",,,5.25,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2004-Q1","Q1-2004","PC","Percentage","0","Units",,,5.543334,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2004-Q2","Q2-2004","PC","Percentage","0","Units",,,5.513333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2004-Q3","Q3-2004","PC","Percentage","0","Units",,,5.44,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2004-Q4","Q4-2004","PC","Percentage","0","Units",,,5.416667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2005-Q1","Q1-2005","PC","Percentage","0","Units",,,5.62,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2005-Q2","Q2-2005","PC","Percentage","0","Units",,,5.696667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2005-Q3","Q3-2005","PC","Percentage","0","Units",,,5.63,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2005-Q4","Q4-2005","PC","Percentage","0","Units",,,5.63,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2006-Q1","Q1-2006","PC","Percentage","0","Units",,,5.616667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2006-Q2","Q2-2006","PC","Percentage","0","Units",,,5.84,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2006-Q3","Q3-2006","PC","Percentage","0","Units",,,6.15,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2006-Q4","Q4-2006","PC","Percentage","0","Units",,,6.346667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2007-Q1","Q1-2007","PC","Percentage","0","Units",,,6.41,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2007-Q2","Q2-2007","PC","Percentage","0","Units",,,6.423333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2007-Q3","Q3-2007","PC","Percentage","0","Units",,,6.72,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2007-Q4","Q4-2007","PC","Percentage","0","Units",,,7.116667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2008-Q1","Q1-2008","PC","Percentage","0","Units",,,7.59,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2008-Q2","Q2-2008","PC","Percentage","0","Units",,,7.8,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2008-Q3","Q3-2008","PC","Percentage","0","Units",,,7.443333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2008-Q4","Q4-2008","PC","Percentage","0","Units",,,5.06,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2009-Q1","Q1-2009","PC","Percentage","0","Units",,,3.353333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2009-Q2","Q2-2009","PC","Percentage","0","Units",,,3.16,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2009-Q3","Q3-2009","PC","Percentage","0","Units",,,3.27,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2009-Q4","Q4-2009","PC","Percentage","0","Units",,,3.953333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2010-Q1","Q1-2010","PC","Percentage","0","Units",,,4.23,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2010-Q2","Q2-2010","PC","Percentage","0","Units",,,4.75,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2010-Q3","Q3-2010","PC","Percentage","0","Units",,,4.8,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2010-Q4","Q4-2010","PC","Percentage","0","Units",,,4.953333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2011-Q1","Q1-2011","PC","Percentage","0","Units",,,4.933333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2011-Q2","Q2-2011","PC","Percentage","0","Units",,,4.963333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","2011-Q3","Q3-2011","PC","Percentage","0","Units",,,4.876667,,
